Country,Regime
Afghanistan,Closed Anocracy
Albania,Democracy
Algeria,Open Anocracy
Angola,Closed Anocracy
Argentina,Democracy
Armenia,Democracy
Australia,Full Democracy
Austria,Full Democracy
Azerbaijan,Autocracy
Bahrain,Autocracy
Bangladesh,Autocracy
Belarus,Autocracy
Belgium,Democracy
Benin,Democracy
Bhutan,Democracy
Bolivia,Democracy
Botswana,Democracy
Brazil,Democracy
Bulgaria,Democracy
Burkina Faso,Democracy
Burundi,Closed Anocracy
Cambodia,Closed Anocracy
Cameroon,Closed Anocracy
Canada,Full Democracy
Cape Verde,Full Democracy
Central African Republic,Democracy
Chad,Closed Anocracy
Chile,Full Democracy
China,Autocracy
Colombia,Democracy
Comoros,Closed Anocracy
Congo Brazzaville,Closed Anocracy
Congo Kinshasa,Closed Anocracy
Costa Rica,Full Democracy
Croatia,Democracy
Cuba,Closed Anocracy
Cyprus,Full Democracy
Czech Republic,Democracy
Denmark,Full Democracy
Djibouti,Open Anocracy
Dominican Republic,Democracy
East Timor,Democracy
Ecuador,Open Anocracy
Egypt,Closed Anocracy
El Salvador,Democracy
Equatorial Guinea,Autocracy
Eritrea,Autocracy
Estonia,Democracy
Ethiopia,Open Anocracy
Fiji,Open Anocracy
Finland,Full Democracy
France,Democracy
Gabon,Open Anocracy
Gambia,Open Anocracy
Georgia,Democracy
Germany,Full Democracy
Ghana,Democracy
Greece,Full Democracy
Guatemala,Democracy
Guinea,Open Anocracy
Guinea-Bissau,Democracy
Guyana,Democracy
Haiti,Open Anocracy
Honduras,Democracy
Hungary,Full Democracy
India,Democracy
Indonesia,Democracy
Iran,Autocracy
Iraq,Democracy
Ireland,Full Democracy
Israel,Democracy
Italy,Full Democracy
Ivory Coast,Open Anocracy
Jamaica,Democracy
Japan,Full Democracy
Jordan,Closed Anocracy
Kazakhstan,Autocracy
Kenya,Democracy
Kosovo,Democracy
Kuwait,Autocracy
Kyrgyzstan,Democracy
Laos,Autocracy
Latvia,Democracy
Lebanon,Democracy
Lesotho,Democracy
Liberia,Democracy
Lithuania,Full Democracy
Luxembourg,Full Democracy
Macedonia,Democracy
Madagascar,Democracy
Malawi,Democracy
Malaysia,Democracy
Mali,Open Anocracy
Mauritania,Closed Anocracy
Mauritius,Full Democracy
Mexico,Democracy
Moldova,Democracy
Mongolia,Full Democracy
Montenegro,Democracy
Morocco,Closed Anocracy
Mozambique,Open Anocracy
Myanmar,Democracy
Namibia,Democracy
Nepal,Democracy
Netherlands,Full Democracy
New Zealand,Full Democracy
Nicaragua,Democracy
Niger,Open Anocracy
Nigeria,Democracy
North Korea,Autocracy
Norway,Full Democracy
Oman,Autocracy
Pakistan,Democracy
Panama,Democracy
Papua New Guinea,Open Anocracy
Paraguay,Democracy
Peru,Democracy
Philippines,Democracy
Poland,Full Democracy
Portugal,Full Democracy
Qatar,Autocracy
Romania,Democracy
Russia,Open Anocracy
Rwanda,Closed Anocracy
Saudi Arabia,Autocracy
Senegal,Democracy
Serbia,Democracy
Sierra Leone,Democracy
Singapore,Closed Anocracy
Slovak Republic,Full Democracy
Slovenia,Full Democracy
Solomon Islands,Democracy
Somalia,Open Anocracy
South Africa,Democracy
South Korea,Democracy
Spain,Full Democracy
Sri Lanka,Democracy
Sudan,Closed Anocracy
Suriname,Open Anocracy
Eswatini,Autocracy
Sweden,Full Democracy
Switzerland,Full Democracy
Syria,Autocracy
Taiwan,Full Democracy
Tajikistan,Closed Anocracy
Tanzania,Open Anocracy
Thailand,Closed Anocracy
Togo,Closed Anocracy
Trinidad and Tobago,Full Democracy
Tunisia,Democracy
Turkey,Closed Anocracy
Turkmenistan,Autocracy
Uganda,Closed Anocracy
Ukraine,Open Anocracy
United Arab Emirates,Autocracy
United Kingdom,Democracy
United States,Democracy
Uruguay,Full Democracy
Uzbekistan,Autocracy
Venezuela,Closed Anocracy
Vietnam,Autocracy
Zambia,Democracy
Zimbabwe,Open Anocracy
